crn, julian, press, theta, sigma, temp, sal, oxy, xmiss, fluor, nit, 
#, day, dbar, ITS-90, kg/m3, ITS-90, PSS-78, umol/kg, %, ug/l, umol/kg, 
101, 3756,    2.0, 23.5078,  23.980, 23.5082, 35.2542,   210.3,  -9.000,  0.1689,  -9.000,
101, 3756,    4.0, 23.5085,  23.980, 23.5093, 35.2543,   210.4,  -9.000,  0.1654,  -9.000,
101, 3756,    6.0, 23.5085,  23.979, 23.5097, 35.2527,   210.6,  -9.000,  0.1656,  -9.000,
101, 3756,    8.0, 23.5065,  23.983, 23.5082, 35.2564,   210.8,  -9.000,  0.1700,  -9.000,
101, 3756,   10.0, 23.5026,  23.980, 23.5046, 35.2520,   210.8,  -9.000,  0.1716,  -9.000,
101, 3756,   12.0, 23.4990,  23.983, 23.5015, 35.2539,   210.8,  -9.000,  0.1774,  -9.000,
101, 3756,   14.0, 23.4944,  23.984, 23.4973, 35.2539,   210.9,  -9.000,  0.1795,  -9.000,
101, 3756,   16.0, 23.4921,  23.985, 23.4955, 35.2540,   211.0,  -9.000,  0.1788,  -9.000,
101, 3756,   18.0, 23.4909,  23.985, 23.4947, 35.2534,   211.0,  -9.000,  0.1780,  -9.000,
101, 3756,   20.0, 23.4893,  23.986, 23.4935, 35.2546,   211.0,  -9.000,  0.1806,  -9.000,
101, 3756,   22.0, 23.4875,  23.987, 23.4920, 35.2550,   211.0,  -9.000,  0.1828,  -9.000,
101, 3756,   24.0, 23.4854,  23.988, 23.4904, 35.2556,   211.0,  -9.000,  0.1868,  -9.000,
101, 3756,   26.0, 23.4821,  23.990, 23.4875, 35.2563,   211.0,  -9.000,  0.1904,  -9.000,
101, 3756,   28.0, 23.4760,  23.992, 23.4818, 35.2579,   211.0,  -9.000,  0.1945,  -9.000,
101, 3756,   30.0, 23.4757,  23.994, 23.4819, 35.2599,   211.0,  -9.000,  0.1986,  -9.000,
101, 3756,   32.0, 23.4709,  23.996, 23.4775, 35.2604,   211.0,  -9.000,  0.2031,  -9.000,
101, 3756,   34.0, 23.4700,  23.998, 23.4770, 35.2623,   211.0,  -9.000,  0.2122,  -9.000,
101, 3756,   36.0, 23.4678,  24.000, 23.4752, 35.2641,   211.0,  -9.000,  0.2178,  -9.000,
101, 3756,   38.0, 23.4638,  24.004, 23.4717, 35.2683,   211.0,  -9.000,  0.2248,  -9.000,
101, 3756,   40.0, 23.4607,  24.003, 23.4690, 35.2655,   211.0,  -9.000,  0.2288,  -9.000,
101, 3756,   42.0, 23.4573,  24.004, 23.4660, 35.2654,   211.1,  -9.000,  0.2303,  -9.000,
101, 3756,   44.0, 23.4540,  24.005, 23.4631, 35.2655,   211.0,  -9.000,  0.2316,  -9.000,
101, 3756,   46.0, 23.4516,  24.006, 23.4611, 35.2661,   211.0,  -9.000,  0.2378,  -9.000,
101, 3756,   48.0, 23.4493,  24.007, 23.4592, 35.2671,   211.0,  -9.000,  0.2509,  -9.000,
101, 3756,   50.0, 23.4480,  24.008, 23.4584, 35.2680,   211.0,  -9.000,  0.2525,  -9.000,
101, 3756,   52.0, 23.4460,  24.009, 23.4568, 35.2685,   211.1,  -9.000,  0.2500,  -9.000,
101, 3756,   54.0, 23.4441,  24.010, 23.4553, 35.2689,   211.1,  -9.000,  0.2522,  -9.000,
101, 3756,   56.0, 23.4426,  24.011, 23.4542, 35.2694,   211.1,  -9.000,  0.2575,  -9.000,
101, 3756,   58.0, 23.4419,  24.012, 23.4540, 35.2698,   211.0,  -9.000,  0.2617,  -9.000,
101, 3756,   60.0, 23.4419,  24.012, 23.4543, 35.2703,   211.1,  -9.000,  0.2662,  -9.000,
101, 3756,   62.0, 23.4409,  24.012, 23.4537, 35.2706,   211.0,  -9.000,  0.2718,  -9.000,
101, 3756,   64.0, 23.4409,  24.013, 23.4542, 35.2714,   211.0,  -9.000,  0.2784,  -9.000,
101, 3756,   66.0, 23.4412,  24.014, 23.4549, 35.2725,   210.9,  -9.000,  0.2830,  -9.000,
101, 3756,   68.0, 23.4419,  24.015, 23.4560, 35.2739,   210.8,  -9.000,  0.2849,  -9.000,
101, 3756,   70.0, 23.4418,  24.015, 23.4563, 35.2749,   210.9,  -9.000,  0.2898,  -9.000,
101, 3756,   72.0, 23.4411,  24.016, 23.4560, 35.2759,   210.8,  -9.000,  0.2962,  -9.000,
101, 3756,   74.0, 23.4391,  24.017, 23.4544, 35.2760,   210.8,  -9.000,  0.3044,  -9.000,
101, 3756,   76.0, 23.4375,  24.018, 23.4533, 35.2765,   210.9,  -9.000,  0.3115,  -9.000,
101, 3756,   78.0, 23.4357,  24.018, 23.4519, 35.2766,   210.8,  -9.000,  0.3199,  -9.000,
101, 3756,   80.0, 23.4355,  24.019, 23.4521, 35.2769,   210.8,  -9.000,  0.3264,  -9.000,
101, 3756,   82.0, 23.4355,  24.019, 23.4525, 35.2774,   210.8,  -9.000,  0.3305,  -9.000,
101, 3756,   84.0, 23.4348,  24.020, 23.4522, 35.2775,   210.7,  -9.000,  0.3365,  -9.000,
101, 3756,   86.0, 23.4339,  24.020, 23.4517, 35.2783,   210.7,  -9.000,  0.3384,  -9.000,
101, 3756,   88.0, 23.4335,  24.021, 23.4517, 35.2791,   210.7,  -9.000,  0.3403,  -9.000,
101, 3756,   90.0, 23.4340,  24.023, 23.4526, 35.2811,   210.6,  -9.000,  0.3421,  -9.000,
101, 3756,   92.0, 23.4349,  24.024, 23.4540, 35.2834,   210.6,  -9.000,  0.3520,  -9.000,
101, 3756,   94.0, 23.4367,  24.026, 23.4562, 35.2874,   210.6,  -9.000,  0.3628,  -9.000,
101, 3756,   96.0, 23.4361,  24.029, 23.4560, 35.2900,   210.5,  -9.000,  0.3687,  -9.000,
101, 3756,   98.0, 23.4369,  24.030, 23.4572, 35.2919,   210.4,  -9.000,  0.3679,  -9.000,
101, 3756,  100.0, 23.4357,  24.031, 23.4564, 35.2925,   210.3,  -9.000,  0.3662,  -9.000,
101, 3756,  102.0, 23.4342,  24.032, 23.4553, 35.2935,   210.2,  -9.000,  0.3654,  -9.000,
101, 3756,  104.0, 23.4326,  24.034, 23.4541, 35.2957,   210.1,  -9.000,  0.3679,  -9.000,
101, 3756,  106.0, 23.4293,  24.037, 23.4513, 35.2991,   210.0,  -9.000,  0.3678,  -9.000,
101, 3756,  108.0, 23.4296,  24.040, 23.4519, 35.3023,   209.8,  -9.000,  0.3671,  -9.000,
101, 3756,  110.0, 23.4307,  24.043, 23.4535, 35.3068,   209.6,  -9.000,  0.3675,  -9.000,
101, 3756,  112.0, 23.4293,  24.047, 23.4525, 35.3116,   209.4,  -9.000,  0.3729,  -9.000,
101, 3756,  114.0, 23.4270,  24.051, 23.4507, 35.3163,   208.9,  -9.000,  0.3811,  -9.000,
101, 3756,  116.0, 23.4167,  24.055, 23.4407, 35.3174,   208.1,  -9.000,  0.3839,  -9.000,
101, 3756,  118.0, 23.3846,  24.062, 23.4090, 35.3141,   207.7,  -9.000,  0.3781,  -9.000,
101, 3756,  120.0, 23.3436,  24.070, 23.3684, 35.3093,   207.2,  -9.000,  0.3690,  -9.000,
101, 3756,  122.0, 23.2985,  24.081, 23.3237, 35.3059,   206.4,  -9.000,  0.3589,  -9.000,
101, 3756,  124.0, 23.2403,  24.094, 23.2658, 35.3016,   205.8,  -9.000,  0.3523,  -9.000,
101, 3756,  126.0, 23.2004,  24.107, 23.2263, 35.3030,   205.5,  -9.000,  0.3350,  -9.000,
101, 3756,  128.0, 23.1601,  24.121, 23.1864, 35.3057,   205.3,  -9.000,  0.3185,  -9.000,
101, 3756,  130.0, 23.0976,  24.137, 23.1243, 35.3028,   205.3,  -9.000,  0.3037,  -9.000,
101, 3756,  132.0, 23.0241,  24.153, 23.0511, 35.2968,   205.1,  -9.000,  0.2908,  -9.000,
101, 3756,  134.0, 22.9648,  24.166, 22.9922, 35.2909,   204.4,  -9.000,  0.2820,  -9.000,
101, 3756,  136.0, 22.8953,  24.180, 22.9230, 35.2829,   203.6,  -9.000,  0.2770,  -9.000,
101, 3756,  138.0, 22.7896,  24.200, 22.8177, 35.2697,   203.1,  -9.000,  0.2717,  -9.000,
101, 3756,  140.0, 22.6916,  24.223, 22.7200, 35.2620,   202.6,  -9.000,  0.2674,  -9.000,
101, 3756,  142.0, 22.5696,  24.252, 22.5983, 35.2545,   201.4,  -9.000,  0.2607,  -9.000,
101, 3756,  144.0, 22.3969,  24.291, 22.4258, 35.2420,   200.5,  -9.000,  0.2535,  -9.000,
101, 3756,  146.0, 22.2706,  24.319, 22.2998, 35.2313,   199.5,  -9.000,  0.2483,  -9.000,
101, 3756,  148.0, 22.1677,  24.340, 22.1972, 35.2214,   199.1,  -9.000,  0.2454,  -9.000,
101, 3756,  150.0, 22.0358,  24.369, 22.0656, 35.2097,   199.4,  -9.000,  0.2391,  -9.000,
101, 3756,  152.0, 21.8903,  24.400, 21.9203, 35.1971,   199.5,  -9.000,  0.2338,  -9.000,
101, 3756,  154.0, 21.7838,  24.424, 21.8141, 35.1898,   199.2,  -9.000,  0.2281,  -9.000,
101, 3756,  156.0, 21.6676,  24.451, 21.6982, 35.1822,   199.0,  -9.000,  0.2243,  -9.000,
101, 3756,  158.0, 21.5599,  24.475, 21.5908, 35.1751,   198.6,  -9.000,  0.2197,  -9.000,
101, 3756,  160.0, 21.4621,  24.498, 21.4933, 35.1698,   198.0,  -9.000,  0.2126,  -9.000,
